,sentence
717,"Hinga|NNP .|PMP
"
718,"Langoy|NNP .|PMP
"
719,"Lingon|NNP sa|CCT kaliwa|JJD ,|PMC lingon|VBOF sa|CCT kanan|JJD .|PMP
"
720,"ΓÇ¥|PMS Sumisigaw|VBTR_VBAF habang|RBW lumalangoy|VBTR_VBAF si|DTP Bisel|NNP .|PMP
"
721,"Mabilis|RBD namang|RBI_CCP naghabulan|VBTS ang|DTC dalawa|CDB pataas|NNC .|PMP
"
722,"ΓÇ£|PMS Lumangoy|JJD naman|RBI kaya|CCR tayo|PRP nang|RBD nakapikit|RBD ?|PMQ
"
723,"Ang|DTC mabunggo|JJD sa|CCT bato|NNC siyang|PRS_CCP talo|NNC !|PMS
"
724,"ΓÇ¥|PMS Masayang|RBD_CCP naglalaro|VBTR si|DTP Dayday|NNP at|CCA Bisel|NNP habang|RBW lumalangoy|VBTR_VBAF paitaas|RBD .|PMP
"
725,"ΓÇ£|PMS Sayang|RBS naman|RBI ng|CCB mga|DTCP ginawa|VBOF namin|PRP ni|DTP Ate|NNP Lani|NNP .|PMP
"
726,"Hindi|RBF naman|RBI pala|NNC pwede|RBT .|PMP
"
727,"ΓÇ¥|PMS ΓÇ£|CDB Ay|NNCA ,|PMC ay|LM ,|PMC ay|LM !|PMQ
"
728,"Alam|VBS ko|PRS na|CCP !|PMS
"
729,"Pani|NNP ,|PMC alam|VBS ko|PRS na|CCP !|PMS
"
730,"ΓÇ¥|PMS sigaw|NNC ni|DTP Ate|NNP Lani|NNP .|PMP
"
731,"ΓÇ£|PMS May|VBH gagawin|VBTF na|CCP naman|RBI ba|RBI tayo|PRP ?|PMQ
"
732,"Pero|CCT nandun|VBTS na|CCP sila|PRP ,|PMC ΓÇ¥|CDB malungkot|JJD na|CCP sagot|NNC ko|PRS .|PMP
"
733,"ΓÇ£|PMS Hindi|RBF ,|PMC Pani|NNP ,|PMC ganito|PRC nalang|VBTS ,|PMC ΓÇ¥|PMS wika|NNC ni|DTP Ate|NNP Lani|NNP .|PMP
"
734,"Sinubukan|VBTS namin|PRP ang|DTC naisip|VBTS ni|DTP Ate|NNP Lani|NNP .|PMP
"
735,"ΓÇ£|PMS Pwedeng|RBT_CCP -|PMS pwede|VBS !|PMQ
"
736,"ΓÇ¥|PMS ΓÇ£|CDB Mam|NNCA ,|PMC Mam|NNP ,|PMC Mam|NNP !|PMS
"
737,"ΓÇ¥|PMS malakas|JJD kong|PRS_CCP tawag|NNC upang|CCB marinig|VBW ni|DTP Mam|NNP sa|CCT taas|NNC .|PMP
"
738,"ΓÇ£|PMS Mam|NNC ,|PMC Mam|NNC ,|PMC Mam|NNC ,|PMC sandali|RBW po|RBS !|PMQ
"
739,"ΓÇ¥|PMS ΓÇ£|CDB O|NNPA ano|PRQ ,|PMC Pani|NNP ?|PMQ
"
740,"May|VBH iba|PRI ka|PRS pa|RBI bang|RBI_CCP paraan|NNC ?|PMQ
"
741,"ΓÇ¥|PMS tanong|NNC ni|DTP Mam|NNP habang|RBW lumalangoy|VBTR_VBAF pababa|RBD .|PMP
"
742,"ΓÇ£|PMS Mam|NNC ,|PMC pwede|VBS po|RBS kaya|CCR akong|PRS_CCP sumakay|VBAF sa|CCT likod|NNC ni|DTP Ate|NNP Lani|NNP para|CCT makasabay|VBW ako|PRS sa|CCT mga|DTCP kaklase|NNC ko|PRS papunta|VBW sa|CCT ibabaw|JJD ?|PMQ
"
743,"Naghihingalong|VBTR_CCP tanong|NNC ko|PRS kay|DTP Mam|NNP .|PMP
"
744,"ΓÇ£|PMS Magpapatulong|NNC_CCP ako|PRS sa|CCT kaniyang|PRSP_CCP gabayan|VBOF ako|PRS .|PMP
"
745,"ΓÇ¥|PMS ΓÇ£|CDB Kahit|CCT di|RBF ka|PRS marunong|JJD lumangoy|VBAF ,|PMC ΓÇ£|PMS sagot|NNC ni|DTP Mam|NNP ,|PMC ΓÇ£|PMS basta|CCT ΓÇÖ|PMS t|NNCA may|VBH gagabay|VBTF sa|CCT ΓÇÖ|CDB yo|NNCA .┬á.┬á.|NNPA ΓÇ¥|PMS ΓÇ£|NNCA .┬á.┬á.|NNPA pwedeng|RBT_CCP -|PMS pwede|RBT ,|PMC Pani|NNP !|PMS
"
746,"ΓÇ¥|PMS Gabay|NNC :|PMS Ang|DTC kwento|NNC ni|DTP Pani|NNP ay|LM nagpapakita|VBTR ng|CCB isang|PRI_CCP karakter|NNC na|CCP nangangailangan|VBTR ng|CCB espesyal|JJD na|CCP atensyon|NNC .|PMP
"
747,"Meron|VBH tayong|PRP_CCP mga|DTCP kaklase|NNC o|CCT kakilala|JJD na|CCP katulad|JJC niya|PRS .|PMP
"
748,"Ang|DTC mga|DTCP sumusunod|VBTR_VBAF na|CCP tanong|NNC ay|LM maaari|VBS ninyong|RBD_CCP gamitin|VBOF upang|CCB mapag|VBW -|PMS usupan|NNC sa|CCT klase|NNC ang|DTC karanasan|NNC ni|DTP Pani|NNP .|PMP
"
749,"1|CDB .|PMP
"
750,"Anong|PRQ_CCP hamon|NNC ang|DTC nararanasan|VBTR ni|DTP Pani|NNP sa|CCT klase|NNC ?|PMQ
"
751,"2|CDB .|PMP
"
752,"May|VBH alam|VBS ka|PRS bang|RBI_CCP isa|PRI na|CCP hindi|RBF nakakalangoy|VBTR ?|PMQ
"
753,"Paano|PRQ sila|PRP nabubuhay|VBTR sa|CCT dagat|NNC ?|PMQ
"
754,"3|CDB .|PMP
"
755,"Ilarawan|VBOF si|DTP Pani|NNP .|PMP
"
756,"4|CDB .|PMP
"
757,"Paano|PRQ nakasama|VBTS si|DTP Pani|NNP sa|CCT ibabaw|NNC ng|CCB dagat|NNC ?|PMQ
"
758,"5|CDB .|PMP
"
759,"Kung|CCR ikaw|PRS si|DTP Pani|NNP ,|PMC gagawa|VBTF ka|PRS ba|RBI ng|CCB paraan|NNC upang|CCB makasama|VBW sa|CCT mga|DTCP kaklase|NNC ?|PMQ
"
760,"Bakit|PRQ ?|PMQ
"
761,"Sa|CCT taas|NNC ng|CCB bundok|NNC ,|PMC may|VBH isang|PRI_CCP bayan|NNC ΓÇô|PMS Ang|DTC munting|JJD_CCP Kamayanan|NNC .|PMP
"
762,"Ngunit|CCT ang|DTC mga|DTCP nakatira|VBTS ΓÇÖ|FW y|FW tila|RBM mga|DTCP bathala|NNC ;|PMSC ΓÇÿ|PMS Sing|NNP laki|NNC ng|CCB ulap|NNC ang|DTC mga|DTCP kamay|NNC nila|PRP .|PMP '|PMS
"
763,"Pag|CCR sila|PRP ΓÇÖ|PMS y|FW pumalakpak|VBAF ,|PMC hatid|JJD ay|LM kulog|NNC ;|PMSC '|PMS Pag|CCR pinaglapat|VBRF ang|DTC mga|DTCP kamay|NNC ,|PMC pati|CCA balyena|NNC '|PMS y|FW inaalon|FW .|PMP
"
764,"Sa|CCT rurok|JJD ,|PMC nananahan|VBTR silang|PRP_CCP kasama|CCB ng|CCB mga|DTCP ibon|NNC ;|PMSC Payapang|NNP_CCP -|PMS payapa|JJD ,|PMC walang|VBN_CCP imik|NNC ni|DTP bulong|NNC .|PMP
"
765,"Gumapang|NNP_CCP palabas|NNC ng|CCB kuweba|NNC si|DTP CoVully|NNP ;|PMSC Parang|RBM multong|NNC_CCP nagmula|VBTS sa|CCT hukay|NNC .|PMP
"
766,"Buga|NNP niya|PRS ΓÇÖ|PMS y|FW koronang|NNC_CCP sumasakal|VBAF ,|PMC Hininga|NNP ΓÇÖ|PMS y|FW mauubos|FW ,|PMC at|CCA dilim|NNC ay|LM bumabalot|VBTR_VBAF .|PMP
"
767,"Ginulat|VBTS ni|DTP CoVully|NNP ang|DTC lahat|PRI ;|PMSC Gumawa|VBAF ng|CCB higanteng|JJD_CCP pandemic|FW !|PMS
"
768,"Karamiha|NNP ΓÇÖ|PMS y|FW namutla|FW at|CCA nagkasakit|VBTS ;|PMSC Nawala|VBTS ang|DTC mga|DTCP kapatid|NNC ,|PMC lumisan|VBAF nang|RBD mabilis|RBD !|PMQ
"
769,"Nagtipon|VBTS ang|DTC buong|PRI_CCP Kamayanan|NNP ;|PMSC Nag|PRSP_CCP -|PMS alala|NNC ,|PMC nanginig|VBTS ,|PMC at|CCA pinagpawisan|VBRF :|PMS ""|PMS Anong|PRQ_CCP gagawin|VBTF natin|PRP ?|PMQ
"
770,"Magkulong|VBW ?|PMQ
"
771,"Hangang|RBW tayo|PRP '|PMS y|FW maubos|VBW ,|PMC magtago|VBW '|PMS t|NNCA sumilong|VBAF ?|PMQ  
"
772,"""|PMS Tumayo|VBAF si|DTP Tandang|NNP Turo|NNP at|CCA inawit|VBOF ;|PMSC Oyayi|NNP ng|CCB mga|DTCP ina|NNC sa|CCT mga|DTCP batang|JJD_CCP paslit|NNC .|PMP  
"
773,"""|PMS Tayo|NNP ΓÇÖ|FW y|FW gumising|FW :|PMS umindak|VBTR_VBAF ,|PMC umikot|VBAF ,|PMC ligawan|JJD ang|DTC hangin|NNC ;|PMSC Ating|PRQ_CCP alalahanin|NNC ,|PMC agimat|NNC ng|CCB Kamayanang|NNC_CCP ipinamana|VBTS sa|CCT atin|PRSP .|PMP  
"
774,"""|PMS Ang|DTC bulungan|NNC at|CCA tawanan|NNC ,|PMC naging|VBTS halakhakan|NNC !|PMS
"
775,"Anila|NNP ,|PMC nababaliw|VBTR na|CCP yata|RBM sa|CCT katandaan|NNC .|PMP
"
776,"Lumukso|NNP ΓÇÖ|CDB t|NNCA sumubok|VBAF ang|DTC batang|NNC_CCP si|DTP Kingan|NNP .|PMP  
"
777,"""|PMS Sa|CCT galaw|NNC ng|CCB mga|DTCP kamay|NNC ,|PMC virus|FW gagawing|VBTF_CCP talunan|NNC !|PMS  
"
778,"""|PMS Lumitaw|VBAF ang|DTC maduming|JJD_CCP CoVully|FW ,|PMC Mabubuhay|VBTF kaya|CCR sila|PRP ?|PMQ
"
779,"Hinarap|VBTS siya|PRS ni|DTP Kingan|NNP nang|RBW buong|PRI_CCP loob|NNC at|CCA isip|NNC ;|PMSC Umindak|NNP ,|PMC umawit|VBAF ,|PMC mga|DTCP buhay|NNC ay|LM sinagip|VBTS .|PMP
"
780,"Sayaw|NNC ng|CCB palad|NNC at|CCA kamay|NNC ;|PMSC Kalarong|JJD_CCP sabon|NNC at|CCA tubig|NNC .|PMP
"
781,"Hugasan|NNP ,|PMC hilurin|FW ;|PMSC Huwag|RBF mong|PRS_CCP bibiruin|VBTF .|PMP
"
782,"Sakit|NNP ay|LM iwasan|VBOF ,|PMC virus|FW ay|LM talunin|VBOF ;|PMSC Sayaw|NNC ng|CCB palad|NNC at|CCA kamay|NNC .|PMP
"
783,"Naalog|NNP ,|PMC nangatog|VBTS si|DTP CoVully|NNP ;|PMSC Mga|DTCP korona|NNC ΓÇÖ|PMS y|FW natigil|VBTS ,|PMC namanhid|VBTS at|CCA natunaw|VBTS .|PMP
"
784,"Tunay|RBT na|CCP kapangyarihan|NNC ay|LM lumitaw|VBAF ;|PMSC Malilinis|VBTF na|CCP kamay|NNC ay|LM mangingibabaw|VBTR .|PMP
"
785,"Sumilip|NNP at|CCA sumali|VBAF sa|CCT saliw|NNC ng|CCB oyayi|NNC nang|RBW matauhan|VBW ;|PMSC Winawagayway|VBTR ,|PMC sama|CCB -|PMS samang|NNC_CCP mga|DTCP kamay|NNC ng|CCB bayan|NNC .|PMP  
"
786,"""|PMS Nasa|RBL atin|PRSP ang|DTC susi|NNC upang|CCB sa|CCT kalamidad|NNC ay|LM magwagi|VBW .|PMP  
"
787,"""|PMS Habang|RBW natalo|VBTS at|CCA nawala|VBTS si|DTP CoVully|NNP .|PMP
"
788,"Sa|CCT taas|NNC ng|CCB bundok|NNC ,|PMC may|VBH isang|PRI_CCP bayan|NNC ΓÇô|PMS Ang|DTC munting|JJD_CCP Kamayanan|NNC .|PMP
"
789,"Namuhay|VBTS silang|PRP_CCP tila|RBM mga|DTCP bathala|NNC mula|RBW noon|RBW ;|PMSC Sa|CCT ating|PRSP_CCP mga|DTCP kamay|NNC ,|PMC tatalunin|VBTF ang|DTC mga|DTCP hamon|NNC .|PMP
"
790,"WAKAS|NNPA This|NNP book|FW was|FW adapted|FW as|FW part|FW of|FW ABC|NNPA +|PMS :|PMS Advancing|NNP Basic|NNP Education|NNP in|NNP the|FW Philippines|NNP project|FW .|PMP
"
791,"ABC|NNPA +|PMS is|FW a|FW partnership|FW of|FW USAID|NNPA and|FW the|FW Department|NNP of|FW Education|NNP (|PMS DepEd|FW )|PMS ,|PMC implemented|FW by|FW RTI|PMS International|NNP together|FW with|FW The|NNP Asia|NNP Foundation|NNP (|PMS TAF|NNPA )|PMS ,|PMC SIL|NNPA LEAD|NNPA ,|PMC and|FW Florida|NNP State|NNP University|NNP (|PMS FSU|NNPA )|PMS .|PMP
"
792,"This|NNP book|FW was|FW reviewed|FW by|FW Nora|NNP J.|NNPA Laguda|NNP ,|PMC Education|NNP Program|NNP Supervisor|NNP in|NNP Filipino|NNP and|FW was|FW approved|FW for|FW publishing|FW by|FW the|FW Department|NNP of|FW Education|NNP Region|NNP V|CDB -|PMS Bicol|NNP Learning|NNP Resource|NNP Management|NNP Section|NNP (|PMS LRMS|NNPA )|PMS of|FW the|FW Curriculum|NNP and|FW Learning|NNP Management|NNP Division|NNP (|PMS CLMD|NNPA )|PMS .|PMP
"
793,"ΓÇ£|PMS Tatay|NNC ,|PMC papasok|RBD na|CCP ba|RBI ako|PRS sa|CCT pasukan|NNC ?|PMQ
"
794,"ΓÇ¥|PMS tanong|NNC ni|DTP Ping|NNP .|PMP
"
795,"ΓÇ£|PMS Sana|VBS .|PMP
"
796,"Kaso|CCR hindi|RBF pa|RBI tayo|PRP sigurado|RBT kung|RBK kailan|RBQ ang|DTC pasukan|NNC dahil|CCR sa|CCT COVID|NNPA -19|CDB .|PMP
"
797,"Kaya|CCR dito|PRL ka|PRS muna|RBI mag|VBW -|PMS aaral|NNC sa|CCT bahay|NNC ,|PMC ΓÇ¥|NNC ang|DTC tugon|NNC ng|CCB kaniyang|PRSP_CCP ama|NNC .|PMP
"
798,"ΓÇ£|PMS Sino|PRQ po|RBS ang|DTC magiging|VBTF titser|FW ko|PRS ?|PMQ
"
799,"ΓÇ¥|PMS ang|DTC nasasabik|VBTR na|CCP tanong|NNC ni|DTP Ping|NNP .|PMP
"
800,"ΓÇ£|PMS Ako|PRS siyempre|RBT o|CCT kaya|CCR si|DTP Nanay|NNP mo|PRS ,|PMC ΓÇ¥|NNCA ang|DTC nakangiting|RBD_CCP tugon|NNC ni|DTP Tatay|NNP .|PMP
"
801,"ΓÇ£|PMS Ano|PRQ po|RBS ang|DTC ituturo|VBTF ninyo|PRP sa|CCT akin|PRSP ,|PMC Tatay|NNC ?|PMQ
"
802,"ΓÇ¥|PMS ΓÇ£|CDB Marami|PRI .|PMP
"
803,"Tuturuan|RBW kitang|RBD_CCP magbasa|VBW ,|PMC magsulat|VBAF ,|PMC at|CCA magbilang|VBAF .|PMP
"
804,"Magdodrowing|NNP din|RBI tayo|PRP ,|PMC ΓÇ¥|NNCA ang|DTC tugon|NNC ng|CCB kaniyang|PRSP_CCP ama|NNC .|PMP
"
805,"Napaisip|VBTS si|DTP Ping|NNP .|PMP
"
806,"ΓÇ£|PMS Wala|VBN naman|RBI tayong|PRP_CCP pisara|NNC .|PMP
"
807,"Saan|PRQ po|RBS tayo|PRP magsusulat|VBTF ?|PMQ
"
808,"ΓÇ¥|PMS ΓÇ£|CDB Marami|PRI tayong|PRP_CCP malalaking|JJD_CCP karton|NNC ,|PMC Ping|NNC .|PMP
"
809,"Igagawa|VBTS na|RBI lang|RBI kita|NNC .|PMP
"
810,"ΓÇ¥|PMS ΓÇ£|CDB Pero|CCT Tatay|NNC ,|PMC wala|VBN naman|RBI po|RBS tayong|PRP_CCP tsok|NNC .|PMP
"
811,"Ano|PRQ po|RBS ang|DTC ipansusulat|VBTR natin|PRP ?|PMQ
"
812,"ΓÇ¥|PMS ΓÇ£|CDB Walang|VBN_CCP problema|NNC ,|PMC anak|NNC .|PMP
"
813,"Marami|PRI pa|RBI tayong|PRP_CCP imbak|NNC na|CCP uling|NNC .|PMP
"
814,"Iyon|PRO ang|DTC gagawin|VBTF nating|PRP_CCP tsok|NNC .|PMP
"
815,"ΓÇ¥|PMS ΓÇ£|CDB Eh|NNCA ,|PMC ano|PRQ naman|RBI po|RBS ang|DTC gagamitin|VBTF kong|PRS_CCP pangkulay|JJD ?|PMQ
"
816,"ΓÇ¥|PMS ΓÇ£|CDB May|VBH mga|DTCP lumang|JJD_CCP pangkulay|JJD ang|DTC ate|FW mo.|NNCA .|PMP
"
817,"Puwede|RBT mong|PRS_CCP gamitin|VBOF ang|DTC mga|DTCP iyon|PRO ,|PMC Ping|FW ,|PMC ΓÇ¥|FW ang|DTC tugon|NNC ni|DTP Tatay|NNP .|PMP
"
818,"ΓÇ£|PMS Sana|VBS maging|VBW tatay|NNC na|CCP ako|PRS agad|RBW ,|PMC ΓÇ¥|NNCA ang|DTC nasasabik|VBTR na|CCP wika|NNC ni|DTP Ping|NNP .|PMP
"
819,"ΓÇ£|PMS Ha|NNCA ?|PMQ
"
820,"At|CCA bakit|PRQ naman|RBI gusto|VBS mong|PRS_CCP maging|VBW tatay|NNC agad|RBW ?|PMQ
"
821,"ΓÇ¥|PMS ang|DTC nagtatakang|VBTR wika|NNC ng|CCB kaniyang|PRSP_CCP ama|NNC .|PMP
"
822,"ΓÇ£|PMS Gusto|VBS ko|PRS kasing|JJCC maging|VBW titser|FW !|PMS
"
823,"Ang|DTC tatay|NNC pala|NNC ay|LM titser|FW din|RBI ,|PMC ΓÇ¥|NNCA ang|DTC masayang|JJD_CCP wika|NNC ni|DTP Ping|NNP .|PMP
"
824,"ΓÇ£|PMS Hahaha|NNP !|PMS
"
825,"Ikaw|NNP talaga|RBT bunso|NNC ,|PMC pinatawa|VBTS mo|PRS si|DTP Tatay|NNP .|PMP
"
826,"Hindi|RBF mo|PRS kailangang|VBS_CCP maging|VBW tatay|NNC para|CCT maging|VBW titser|NNC .|PMP
"
827,"ΓÇ¥|PMS This|NNP book|FW was|FW adapted|FW as|FW part|FW of|FW ABC|NNPA +|PMS :|PMS Advancing|NNP Basic|NNP Education|NNP in|NNP the|FW Philippines|NNP project|FW .|PMP
"
828,"ABC|NNPA +|PMS is|FW a|FW partnership|FW of|FW USAID|NNPA and|FW the|FW Department|NNP of|FW Education|NNP (|PMS DepEd|FW )|PMS ,|PMC implemented|FW by|FW RTI|PMS International|NNP together|FW with|FW The|NNP Asia|NNP Foundation|NNP (|PMS TAF|NNPA )|PMS ,|PMC SIL|NNPA LEAD|NNPA ,|PMC and|FW Florida|NNP State|NNP University|NNP (|PMS FSU|NNPA )|PMS .|PMP
"
829,"This|NNP book|FW was|FW field|FW tested|FW by|FW Rebecca|NNP Amatorio|NNP and|FW was|FW reviewed|FW by|FW Nora|NNP J.|NNPA Laguda|NNP and|FW Neriza|NNP C.|NNPA Pesigan|NNP This|NNP book|FW was|FW approved|FW for|FW publication|NNC by|FW the|FW Department|NNP of|FW Education|NNP ΓÇô|PMS Bureau|NNP of|FW Learning|NNP Resources|NNP .|PMP
"
830,"Si|DTP Kokoy|NNP ay|LM naninirahan|VBTR malapit|JJD sa|CCT dagat|NNC .|PMP
"
831,"Tuwing|RBW hapon|RBW ay|LM isinasama|VBTR siya|PRS ng|CCB kaniyang|PRSP_CCP Lolo|NNC sa|CCT pamimingwit|NNC ng|CCB isda|NNC o|CCT panghuhuli|NNC ng|CCB mga|DTCP alimasag|NNC .|PMP
"
832,"Isang|PRI_CCP araw|NNC ,|PMC habang|RBW sumisilong|VBTR_VBAF sila|PRP sa|CCT lilim|NNC ng|CCB puno|NNC ng|CCB Talisay|NNP ay|LM nakakita|VBTS siya|PRS ng|CCB isang|PRI_CCP hayop|NNC na|CCP gumagapang|VBTR_VBAF sa|CCT buhangin|NNC .|PMP
"
833,"Hinuli|VBTS niya|PRS ito|PRO at|CCA iniuwi|VBTS sa|CCT kanilang|PRSP_CCP bahay|NNC .|PMP  
"
834,"""|PMS Lola|NNP ,|PMC may|VBH nakita|VBTS akong|PRS_CCP hayop|NNC sa|CCT buhangin|NNC .|PMP
"
835,"Ano|PRQ ang|DTC tawag|NNC dito|PRL ?|PMQ ""|PMS  
"
836,"""|PMS Ay|RBF naku|VBTS ,|PMC Kokoy|NNP !|PMS
"
837,"Umang|NNP -|PMS umang|NNC_CCP iyan|PRO .|PMP
"
838,"Ano|PRQ ang|DTC gagawin|VBTF mo|PRS diyan|PRL ?|PMQ ""|PMS  
"
839,"""|PMS Gagawin|VBTF ko|PRS sana|VBS siyang|PRS_CCP alaga|NNC .|PMP ""|PMS  
"
840,"""|PMS Naku|NNP ,|PMC Kokoy|NNP !|PMS
"
841,"Halos|JJD lahat|PRI ng|CCB umang|NNC_CCP -|PMS umang|VBS ay|LM hindi|RBF ginagawang|VBTR_CCP alaga|NNC ,|PMC ""|PMS sabi|VBS ng|CCB kaniyang|PRSP_CCP lola|NNC .|PMP  
"
842,"""|PMS Kailangan|VBS nila|PRP ng|CCB kasama|CCB ,|PMC at|CCA mas|JJCC nakabubuti|VBTR kung|CCR nandoon|RBL sila|PRP mismo|RBT sa|CCT kanilang|PRSP_CCP tirahan|NNC .|PMP  
"
843,"""|PMS Ngunit|CCT kahit|CCT na|CCP sinabihan|VBTS na|CCP ito|PRO ng|CCB kaniyang|PRSP_CCP lola|NNC ,|PMC inilagay|VBOF pa|RBI rin|RBI ni|DTP Kokoy|NNP sa|CCT labador|FW and|FW umang|FW -|PMS umang|VBAF .|PMP
"
844,"Nilagyan|VBTS niya|PRS ng|CCB buhangin|NNC at|CCA mga|DTCP bato|NNC ang|DTC sisidlan|NNC nito|PRO .|PMP
"
845,"Binigyan|VBOF niya|PRS ng|CCB tinadtad|VBOF na|CCP niyog|NNC at|CCA tubig|NNC na|CCP nakalagay|VBTS sa|CCT tansan|NNC ang|DTC kanyang|PRSP_CCP bagong|JJD_CCP alaga|NNC .|PMP
"
846,"Sa|CCT unang|JJN_CCP araw|NNC ,|PMC malakas|JJD pa|RBI na|CCP gumagapang|VBTR_VBAF ang|DTC umang|NNC_CCP -|PMS umang|VBAF sa|CCT buhangin|NNC .|PMP
"
847,"Ngunit|CCT ,|PMC pagkalipas|VBW ng|CCB ilang|PRQ_CCP araw|NNC ay|LM unti|JJD -|PMS unti|JJD na|CCP itong|PRO_CCP nanghina|VBTS .|PMP
"
848,"Isang|PRI_CCP hapon|NNC ,|PMC inilagay|VBTS ni|DTP Kokoy|NNP ang|DTC umang|VBAF -|PMS umang|VBAF sa|CCT garapon|NNC at|CCA binitbit|VBOF ito|PRO sa|CCT kaniyang|PRSP_CCP paglalakad|NNC sa|CCT tabing|NNC -|PMS dagat|NNC .|PMP  
"
849,"""|PMS Kokoy|NNP ,|PMC bakit|PRQ ka|PRS nag|NNCA -|PMS iisa|PRI dyan|NNC ?|PMQ  
"
850,"""|PMS tanong|NNC ng|CCB kaniyang|PRSP_CCP lolo|NNC .|PMP  
"
851,"""|PMS Wala|VBN kasing|JJCC may|VBH gustong|VBS_CCP makipagkaibigan|VBW sa|CCT akin|PRSP ,|PMC Lolo|NNC .|PMP  
"
852,"""|PMS Sa|CCT ilalim|JJD ng|CCB puno|NNC ng|CCB talisay|NNC ay|LM pinagmasdan|VBRF ni|DTP Kokoy|NNP ang|DTC umang|VBAF -|PMS umang|VBAF na|CCP mistulang|RBM gustong|VBS_CCP -|PMS gusto|VBS nang|RBW kumawala|VBAF sa|CCT garapon|NNC .|PMP
"
853,"Ngunit|CCT ,|PMC lagi|JJD lang|RBI itong|PRO_CCP nagdadausdos|VBTR .|PMP  
"
854,"""|PMS Magkaibigan|NNP tayo|PRP ha|NNCA ,|PMC ""|PMS sabi|VBS ni|DTP Kokoy|NNP sa|CCT umang|NNC_CCP -|PMS umang|VBAF .|PMP
"
855,"Makalipas|VBW ang|DTC ilang|PRQ_CCP araw|NNC ay|LM takang|NNC_CCP -|PMS taka|NNC si|DTP Kokoy|NNP kung|RBK bakit|RBQ laging|RBD_CCP nagtatago|VBTR ang|DTC umang|NNC_CCP -|PMS umang|VBAF sa|CCT kaniyang|PRSP_CCP alukaba|NNC .|PMP
"
856,"Lagi|RBW rin|RBI itong|PRO_CCP naghuhukay|VBTS ng|CCB buhangin|NNC at|CCA minsanan|RBW lang|RBI kung|CCR kumain|VBAF o|CCT uminom|VBAF ng|CCB tubig|NNC .|PMP
"
857,"Naalala|VBTS ni|DTP Kokoy|NNP ang|DTC sinabi|VBTS ng|CCB kaniyang|PRSP_CCP Lola|NNC tungkol|RBR sa|CCT mga|DTCP umang|NNC_CCP -|PMS umang|VBAF .|PMP
"
858,"May|VBH kalungkutang|NNC_CCP nagpasya|VBTS si|DTP Kokoy|NNP .|PMP  
"
859,"""|PMS Kaibigan|JJD kong|PRS_CCP umang|VBAF_CCP -|PMS umang|VBAF_CCP huwag|RBF ka|PRS nang|RBW malungkot|JJD .|PMP  
"
860,"""|PMS Dinala|VBOF ni|DTP Kokoy|NNP ang|DTC garapon|NNC sa|CCT tabing|NNC -|PMS dagat|NNC at|CCA binuksan|VBOF ito|PRO .|PMP
"
861,"Dagling|NNP gumapang|VBAF ang|DTC umang|NNC_CCP -|PMS umang|VBAF patungo|RBL sa|CCT buhangin|NNC .|PMP
"
862,"Hindi|RBF napansin|VBTS ni|DTP Kokoy|NNP na|CCP may|VBH batang|JJD_CCP lumalapit|VBTR_VBAF sa|CCT kaniya|PRSP .|PMP  
"
863,"""|PMS Uy|NNP !|PMS
"
864,"Ano|PRQ ang|DTC ginagawa|VBTR mo|PRS diyan|PRL sa|CCT buhangin|NNC ?|PMQ  
"
865,"""|PMS Ito|PRO ang|DTC unang|JJN_CCP beses|NNC na|CCP may|VBH batang|JJD_CCP gustong|VBS_CCP kumausap|VBAF kay|DTP Kokoy|NNP .|PMP  
"
866,"""|PMS Ibinalik|VBTS ko|PRS ang|DTC aking|PRSP_CCP alagang|NNC_CCP umang|VBAF -|PMS umang|VBAF sa|CCT kaniyang|PRSP_CCP tirahan|NNC .|PMP ""|PMS  
"
867,"""|PMS Ay|NNP ,|PMC nag|VBTS -|PMS alaga|NNC ka|PRS pala|NNC ng|CCB umang|NNC_CCP -|PMS umang|VBAF_CCP ?|PMQ ""|PMS  
"
868,"""|PMS Oo|RBT ,|PMC pero|CCT pinakawalan|VBOF ko|PRS na|CCP ito|PRO .|PMP
"
869,"Kailangan|VBS niya|PRS kasi|CCR ng|CCB kasama|CCB sabi|VBS ni|DTP Lola|NNP ,|PMC ""|PMS paliwanag|NNC ni|DTP Kokoy|NNP .|PMP  
"
870,"""|PMS Mabuti|JJD at|CCA may|VBH kasama|CCB na|CCP ito|PRO ngayon|RBW .|PMP
"
871,"Tara|NNP !|PMS
"
872,"Makipaglaro|VBW ka|PRS sa|CCT amin|PRSP ,|PMC ""|PMS anyaya|NNC ng|CCB bata|NNC .|PMP
"
873,"Tumakbo|VBAF ang|DTC bata|NNC kasama|CCB si|DTP Kokoy|NNP papunta|RBL sa|CCT iba|PRI pang|RBI_CCP mga|DTCP bata|NNC .|PMP
"
874,"Isa|PRI -|PMS isa|PRI silang|PRP_CCP nagpakilala|VBTS kay|DTP Kokoy|NNP .|PMP
"
875,"Doon|PRL sila|PRP tumalon|VBAF -|PMS talon|NNC sa|CCT tintin|FW -|PMS baka|NNC at|CCA tumawa|VBAF sa|CCT paglaro|VBW ng|CCB siyato|NNC at|CCA ins|FW -|PMS ins|FW .|PMP
"
876,"Labis|JJCS ang|DTC tuwa|NNC ni|DTP Kokoy|NNP sa|CCT kaniyang|PRSP_CCP mga|DTCP bagong|JJD_CCP kalaro|NNC .|PMP  
"
